Altium Designer Pick and Place Locations
\\nas.ads.mwn.de\ga42kaf\Dokumente\Altium\UZOhm_Optical_2v02\Project Outputs for Eurocard\Pick Place\PickPlace_Eurocard_2v01.txt

========================================================================================================================
File Design Information:

Date:       10.09.19
Time:       16:43
Revision:   Not in VersionControl
Variant:    Standard
Units used: mm

Designator Footprint                    Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Layer       Comment                      
C3         WCAP-ATG5_8x11.5x3.5         38.6080      88.5190      38.6080   88.5190   38.6080   90.2690   90       TopLayer    "220 uF"                     
UBH        HFBRX5XX                     130.4859     19.4184      126.6759  15.6084   126.6759  15.6084   270      BottomLayer "Optical Transceiver"        
UBG        HFBRX5XX                     130.5495     29.6038      126.7395  25.7938   126.7395  25.7938   270      BottomLayer "Optical Transceiver"        
UAH        HFBRX5XX                     86.3914      9.2330       82.5814   13.0430   82.5814   13.0430   90       TopLayer    "Optical Transceiver"        
UAG        HFBRX5XX                     134.9674     29.6038      131.1574  33.4138   131.1574  33.4138   90       TopLayer    "Optical Transceiver"        
U1H        SOIC127P600X175-8N           109.4038     18.4024      109.4038  18.4024   107.4988  15.7024   90       TopLayer    "Buffer/Line Driver"         
U1G        SOIC127P600X175-8N           109.4674     28.5878      109.4674  28.5878   107.5624  25.8878   90       TopLayer    "Buffer/Line Driver"         
R4H        R_0603_N                     120.5798     21.1964      120.5798  21.1964   121.3798  21.1964   180      TopLayer    68R                          
R4G        R_0603_N                     120.6434     31.3818      120.6434  31.3818   121.4434  31.3818   180      TopLayer    68R                          
R3H        R_0603_N                     117.7858     21.1964      117.7858  21.1964   118.5858  21.1964   180      TopLayer    2.2k                         
R3G        R_0603_N                     117.8494     31.3818      117.8494  31.3818   118.6494  31.3818   180      TopLayer    2.2k                         
R2H        R_0603_N                     117.7858     16.7640      117.7858  16.7640   116.9858  16.7640   360      TopLayer    68R                          
R2G        R_0603_N                     120.6434     29.6038      120.6434  29.6038   121.4434  29.6038   180      TopLayer    68R                          
R1H        R_0603_N                     117.7858     19.4184      117.7858  19.4184   118.5858  19.4184   180      TopLayer    2.2k                         
R1G        R_0603_N                     117.8494     29.6038      117.8494  29.6038   118.6494  29.6038   180      TopLayer    2.2k                         
D2H        WL-SMCW_0603                 114.5458     21.1964      114.5458  21.1964   113.7458  21.1964   360      TopLayer    150060GS75000                
D2G        WL-SMCW_0603                 114.6094     31.3818      114.6094  31.3818   113.8094  31.3818   360      TopLayer    150060GS75000                
D1H        WL-SMCW_0603                 114.5458     19.4184      114.5458  19.4184   113.7458  19.4184   360      TopLayer    150060GS75000                
D1G        WL-SMCW_0603                 114.6094     29.6038      114.6094  29.6038   113.8094  29.6038   360      TopLayer    150060GS75000                
C2H        C_0603(1608)100_L            117.8560     18.0340      117.8560  18.0340   118.5560  18.0340   180      TopLayer    4.7µF                        
C2G        C_0603(1608)100_L            118.4194     28.0798      118.4194  28.0798   119.1194  28.0798   180      TopLayer    4.7µF                        
C1H        C_0603(1608)100_L            105.8478     20.4344      105.8478  20.4344   105.8478  21.1344   270      TopLayer    100nF                        
