Altium Designer Pick and Place Locations
C:\Users\Thilo Wendt\Documents\altium\ultrazohm_digital_voltage_3u_1vxx\Project Outputs for ultrazohm_digital_voltage_3U_1vxx\3v00\PickAndPlace\PAP_UltraZohm_DigitalVoltage_3V3_to_5V_IO.csv

========================================================================================================================
File Design Information:

Date:       05.03.21
Time:       13:58
Revision:   1da91b6c0e3813fb394b6e2d9a169b040dd1bdd8
Variant:    3V3_to_5V_IO
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"SW1","416131160804","19.0000","19.0000","12.5000","12.5000","17.0950","8.6900","0","DSHP04TS-S","TopLayer"
"C4A","C_0603","25.9000","25.9000","33.4941","33.4941","25.9000","32.7941","90","0.1 µF","TopLayer"
"C2B","C_0603","11.5000","11.5000","60.4618","60.4618","11.5000","59.7618","90","0.1 µF","TopLayer"
"C4B","C_0603","25.9000","25.9000","60.4618","60.4618","25.9000","59.7618","90","0.1 µF","TopLayer"
"C3B","C_0603","25.9000","25.9000","67.5145","67.5145","25.9000","68.2145","270","0.1 µF","TopLayer"
"C3A","C_0603","25.9000","25.9000","40.5000","40.5000","25.9000","41.2000","270","0.1 µF","TopLayer"
"C2A","C_0603","11.5000","11.5000","33.4941","33.4941","11.5000","32.7941","90","0.1 µF","TopLayer"
"C1B","C_0603","11.5000","11.5000","67.5145","67.5145","11.5000","68.2145","270","0.1 µF","TopLayer"
"C1A","C_0603","11.5000","11.5000","40.4500","40.4500","11.5000","41.1500","270","0.1 µF","TopLayer"
"X2","IPL1-115-01-XX-D-RA","145.0260","134.1040","76.8760","76.8760","135.3740","94.6560","270","IPL1-115-01-L-D-RA-K","TopLayer"
"X3","IPL1-120-01-XX-D-RA","145.0260","134.1040","29.3780","29.3780","135.3740","53.5080","270","IPL1-120-01-L-D-RA-K","TopLayer"
"R173","RES_0603_1608","30.0000","30.0000","25.2000","25.2000","29.3500","25.2000","0","39R","TopLayer"
"R172","RES_0603_1608","30.0000","30.0000","27.0138","27.0138","29.3500","27.0138","0","39R","TopLayer"
"R171","RES_0603_1608","30.0000","30.0000","28.8276","28.8276","29.3500","28.8276","0","39R","TopLayer"
"R170","RES_0603_1608","30.0000","30.0000","30.6414","30.6414","29.3500","30.6414","0","39R","TopLayer"
"R169","RES_0603_1608","30.0000","30.0000","32.4552","32.4552","29.3500","32.4552","0","39R","TopLayer"
"R168","RES_0603_1608","30.0000","30.0000","34.2690","34.2690","29.3500","34.2690","0","39R","TopLayer"
"R167","RES_0603_1608","30.0000","30.0000","36.0828","36.0828","29.3500","36.0828","0","39R","TopLayer"
"R166","RES_0603_1608","30.0000","30.0000","37.8965","37.8965","29.3500","37.8965","0","39R","TopLayer"
"R165","RES_0603_1608","30.0000","30.0000","39.7103","39.7103","29.3500","39.7103","0","39R","TopLayer"
"R164","RES_0603_1608","30.0000","30.0000","41.5241","41.5241","29.3500","41.5241","0","39R","TopLayer"
"R163","RES_0603_1608","30.0000","30.0000","43.3379","43.3379","29.3500","43.3379","0","39R","TopLayer"
"R162","RES_0603_1608","30.0000","30.0000","45.1517","45.1517","29.3500","45.1517","0","39R","TopLayer"
"R161","RES_0603_1608","30.0000","30.0000","46.9655","46.9655","29.3500","46.9655","0","39R","TopLayer"
"R160","RES_0603_1608","30.0000","30.0000","48.7793","48.7793","29.3500","48.7793","0","39R","TopLayer"
"R159","RES_0603_1608","30.0000","30.0000","50.5931","50.5931","29.3500","50.5931","0","39R","TopLayer"
"R158","RES_0603_1608","30.0000","30.0000","52.4069","52.4069","29.3500","52.4069","0","39R","TopLayer"
"R157","RES_0603_1608","30.0000","30.0000","54.2207","54.2207","29.3500","54.2207","0","39R","TopLayer"
"R156","RES_0603_1608","30.0000","30.0000","56.0345","56.0345","29.3500","56.0345","0","39R","TopLayer"
