Altium Designer Pick and Place Locations
C:\Users\Thilo Wendt\Documents\altium\uz_d_voltage\Project Outputs for ultrazohm_digital_voltage_3U_1vxx\3v10\PickAndPlace\PAP_UltraZohm_DigitalVoltage_3V3_to_RS422_output.csv

========================================================================================================================
File Design Information:

Date:       18.08.21
Time:       12:17
Revision:   076c284da45dc8df1f71f7819a8267ab2d9cfd6d
Variant:    3V3_to_RS422_output
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"C5H","C_0603","66.8000","66.8000","21.7000","21.7000","66.1000","21.7000","0","0.1 µF","TopLayer"
"C5G","C_0603","66.8000","66.8000","34.1000","34.1000","66.1000","34.1000","0","0.1 µF","TopLayer"
"C5F","C_0603","66.8000","66.8000","46.4000","46.4000","66.1000","46.4000","0","0.1 µF","TopLayer"
"C5E","C_0603","66.8000","66.8000","58.6000","58.6000","66.1000","58.6000","0","0.1 µF","TopLayer"
"C5D","C_0603","66.8000","66.8000","70.9000","70.9000","66.1000","70.9000","0","0.1 µF","TopLayer"
"C5C","C_0603","66.8000","66.8000","83.2000","83.2000","66.1000","83.2000","0","0.1 µF","TopLayer"
"C5B","C_0603","66.8000","66.8000","95.5000","95.5000","66.1000","95.5000","0","0.1 µF","TopLayer"
"C5A","C_0603","66.8000","66.8000","9.2000","9.2000","66.1000","9.2000","0","0.1 µF","TopLayer"
"X2","IPL1-115-01-XX-D-RA","145.0260","134.1040","76.8760","76.8760","135.3740","94.6560","270","IPL1-115-01-L-D-RA-K","TopLayer"
"X3","IPL1-120-01-XX-D-RA","145.0260","134.1040","29.3780","29.3780","135.3740","53.5080","270","IPL1-120-01-L-D-RA-K","TopLayer"
"R173","RES_0603_1608","30.0000","30.0000","25.2000","25.2000","29.3500","25.2000","0","0R","TopLayer"
"R172","RES_0603_1608","30.0000","30.0000","27.0138","27.0138","29.3500","27.0138","0","0R","TopLayer"
"R171","RES_0603_1608","30.0000","30.0000","28.8276","28.8276","29.3500","28.8276","0","0R","TopLayer"
"R170","RES_0603_1608","30.0000","30.0000","30.6414","30.6414","29.3500","30.6414","0","0R","TopLayer"
"R169","RES_0603_1608","30.0000","30.0000","32.4552","32.4552","29.3500","32.4552","0","0R","TopLayer"
"R168","RES_0603_1608","30.0000","30.0000","34.2690","34.2690","29.3500","34.2690","0","0R","TopLayer"
"R167","RES_0603_1608","30.0000","30.0000","36.0828","36.0828","29.3500","36.0828","0","0R","TopLayer"
"R166","RES_0603_1608","30.0000","30.0000","37.8965","37.8965","29.3500","37.8965","0","0R","TopLayer"
"R165","RES_0603_1608","30.0000","30.0000","39.7103","39.7103","29.3500","39.7103","0","0R","TopLayer"
"R164","RES_0603_1608","30.0000","30.0000","41.5241","41.5241","29.3500","41.5241","0","0R","TopLayer"
"R163","RES_0603_1608","30.0000","30.0000","43.3379","43.3379","29.3500","43.3379","0","0R","TopLayer"
"R162","RES_0603_1608","30.0000","30.0000","45.1517","45.1517","29.3500","45.1517","0","0R","TopLayer"
"R161","RES_0603_1608","30.0000","30.0000","46.9655","46.9655","29.3500","46.9655","0","0R","TopLayer"
"R160","RES_0603_1608","30.0000","30.0000","48.7793","48.7793","29.3500","48.7793","0","0R","TopLayer"
"R159","RES_0603_1608","30.0000","30.0000","50.5931","50.5931","29.3500","50.5931","0","0R","TopLayer"
"R158","RES_0603_1608","30.0000","30.0000","52.4069","52.4069","29.3500","52.4069","0","0R","TopLayer"
"R157","RES_0603_1608","30.0000","30.0000","54.2207","54.2207","29.3500","54.2207","0","0R","TopLayer"
"R156","RES_0603_1608","30.0000","30.0000","56.0345","56.0345","29.3500","56.0345","0","0R","TopLayer"
"R155","RES_0603_1608","30.0000","30.0000","57.8482","57.8482","29.3500","57.8482","0","0R","TopLayer"
"R154","RES_0603_1608","30.0000","30.0000","59.6620","59.6620","29.3500","59.6620","0","0R","TopLayer"
"R153","RES_0603_1608","30.0000","30.0000","61.4758","61.4758","29.3500","61.4758","0","0R","TopLayer"
"R152","RES_0603_1608","30.0000","30.0000","63.2896","63.2896","29.3500","63.2896","0","0R","TopLayer"
"R151","RES_0603_1608","30.0000","30.0000","65.1034","65.1034","29.3500","65.1034","0","0R","TopLayer"
"R150","RES_0603_1608","30.0000","30.0000","66.9172","66.9172","29.3500","66.9172","0","0R","TopLayer"
"R149","RES_0603_1608","30.0000","30.0000","68.7310","68.7310","29.3500","68.7310","0","0R","TopLayer"
"R148","RES_0603_1608","30.0000","30.0000","70.5448","70.5448","29.3500","70.5448","0","0R","TopLayer"
"R147","RES_0603_1608","30.0000","30.0000","72.3586","72.3586","29.3500","72.3586","0","0R","TopLayer"
"R146","RES_0603_1608","30.0000","30.0000","74.1724","74.1724","29.3500","74.1724","0","0R","TopLayer"
"R145","RES_0603_1608","30.0000","30.0000","75.9862","75.9862","29.3500","75.9862","0","0R","TopLayer"
"R144","RES_0603_1608","30.0000","30.0000","77.7999","77.7999","29.3500","77.7999","0","0R","TopLayer"
"R140","RES_0603_1608","116.1000","116.1000","3.8000","3.8000","115.4500","3.8000","0","47R","TopLayer"
"R139","RES_0603_1608","111.0000","111.0000","4.9000","4.9000","110.3500","4.9000","0","47R","TopLayer"
"R138","RES_0603_1608","111.0000","111.0000","8.0000","8.0000","110.3500","8.0000","0","47R","TopLayer"
"R137","RES_0603_1608","116.1000","116.1000","6.8827","6.8827","115.4500","6.8827","0","47R","TopLayer"
"R136","RES_0603_1608","116.1000","116.1000","9.9655","9.9655","115.4500","9.9655","0","47R","TopLayer"
"R135","RES_0603_1608","111.0000","111.0000","11.1000","11.1000","110.3500","11.1000","0","47R","TopLayer"
"R134","RES_0603_1608","116.1000","116.1000","13.0483","13.0483","115.4500","13.0483","0","47R","TopLayer"
"R133","RES_0603_1608","111.0000","111.0000","14.2000","14.2000","110.3500","14.2000","0","47R","TopLayer"
"R132","RES_0603_1608","111.0000","111.0000","17.3000","17.3000","110.3500","17.3000","0","47R","TopLayer"
"R131","RES_0603_1608","116.1000","116.1000","16.1310","16.1310","115.4500","16.1310","0","47R","TopLayer"
"R130","RES_0603_1608","111.0000","111.0000","20.4000","20.4000","110.3500","20.4000","0","47R","TopLayer"
"R129","RES_0603_1608","116.1000","116.1000","19.2138","19.2138","115.4500","19.2138","0","47R","TopLayer"
"R128","RES_0603_1608","116.1000","116.1000","46.9586","46.9586","115.4500","46.9586","0","47R","TopLayer"
"R127","RES_0603_1608","111.0000","111.0000","48.3000","48.3000","110.3500","48.3000","0","47R","TopLayer"
