Altium Designer Pick and Place Locations
C:\Users\Thilo Wendt\Documents\altium\ultrazohm_digital_voltage_3U_1vxx\Project Outputs for ultrazohm_digital_voltage_3U_1vxx\2v01\PickAndPlace\PAP_UltraZohm_DigitalVoltage_3V3_to_15V_output.txt

========================================================================================================================
File Design Information:

Date:       14.08.20
Time:       12:09
Revision:   90a20ab119588014876faea234f2b3c666ad71d8
Variant:    3V3_to_15V_output
Units used: mm

Designator Layer    Footprint           Center-X(mm) Center-Y(mm) Rotation Value             
R11        TopLayer RESC_0603           129.6000     95.5000      90       5k6               
R10        TopLayer RESC_0603           127.3000     95.5000      90       5k6               
C4A        TopLayer CAPC_0603           26.6000      47.0000      270      100n              
R139       TopLayer RESC_0603           111.0000     4.9000       360      27                
R138       TopLayer RESC_0603           111.0000     8.0000       360      27                
R135       TopLayer RESC_0603           111.0000     11.1000      360      27                
R133       TopLayer RESC_0603           111.0000     14.2000      360      27                
R132       TopLayer RESC_0603           111.0000     17.3000      360      27                
R130       TopLayer RESC_0603           111.0000     20.4000      360      27                
R127       TopLayer RESC_0603           111.0000     48.3000      360      27                
R125       TopLayer RESC_0603           111.0000     51.4000      360      27                
R124       TopLayer RESC_0603           111.0000     54.5000      360      27                
R122       TopLayer RESC_0603           111.0000     57.6000      360      27                
R119       TopLayer RESC_0603           111.0000     60.7000      360      27                
R117       TopLayer RESC_0603           111.0000     63.8000      360      27                
R116       TopLayer RESC_0603           111.0000     66.9000      360      27                
R114       TopLayer RESC_0603           111.0000     70.0000      360      27                
R111       TopLayer RESC_0603           111.0000     23.5000      360      27                
R109       TopLayer RESC_0603           111.0000     26.6000      360      27                
R108       TopLayer RESC_0603           111.0000     29.7000      360      27                
R106       TopLayer RESC_0603           111.0000     32.8000      360      27                
R103       TopLayer RESC_0603           111.0000     35.9000      360      27                
R101       TopLayer RESC_0603           111.0000     39.0000      360      27                
R100       TopLayer RESC_0603           111.0000     42.1000      360      27                
R98        TopLayer RESC_0603           111.0000     45.2000      360      27                
R95        TopLayer RESC_0603           111.0000     73.1000      360      27                
R93        TopLayer RESC_0603           111.0000     76.2000      360      27                
R92        TopLayer RESC_0603           111.0000     79.3000      360      27                
R90        TopLayer RESC_0603           111.0000     82.4000      360      27                
R87        TopLayer RESC_0603           111.0000     85.5000      360      27                
R85        TopLayer RESC_0603           111.0000     88.6000      360      27                
R84        TopLayer RESC_0603           111.0000     91.7000      360      27                
R82        TopLayer RESC_0603           111.0000     94.8000      360      27                
R50        TopLayer RESC_0603           129.0000     7.9000       180      0                 
R49        TopLayer RESC_0603           129.0000     10.4000      180      0                 
R48        TopLayer RESC_0603           129.0000     12.9000      180      0                 
R47        TopLayer RESC_0603           129.0000     15.4000      180      0                 
R46        TopLayer RESC_0603           129.0000     17.9000      180      0                 
R45        TopLayer RESC_0603           129.0000     20.4000      180      0                 
R44        TopLayer RESC_0603           129.0000     22.9000      180      0                 
R43        TopLayer RESC_0603           129.0000     25.4000      180      0                 
R42        TopLayer RESC_0603           129.0000     27.9000      180      0                 
R41        TopLayer RESC_0603           129.0000     33.3000      180      0                 
R40        TopLayer RESC_0603           129.0000     35.8000      180      0                 
R39        TopLayer RESC_0603           129.0000     38.3000      180      0                 
R38        TopLayer RESC_0603           129.0000     40.8000      180      0                 
R37        TopLayer RESC_0603           129.0000     43.3000      180      0                 
R36        TopLayer RESC_0603           129.0000     45.8000      180      0                 
R35        TopLayer RESC_0603           129.0000     48.3000      180      0                 
R34        TopLayer RESC_0603           129.0000     50.8000      180      0                 
R33        TopLayer RESC_0603           129.0000     59.0000      180      0                 
R32        TopLayer RESC_0603           129.0000     61.6750      180      0                 
R31        TopLayer RESC_0603           129.0000     64.1750      180      0                 
R30        TopLayer RESC_0603           129.0000     66.6750      180      0                 
R29        TopLayer RESC_0603           129.0000     69.1750      180      0                 
R28        TopLayer RESC_0603           129.0000     74.3000      180      0                 
R27        TopLayer RESC_0603           129.0000     76.8000      180      0                 
R26        TopLayer RESC_0603           129.0000     79.3000      180      0                 
R25        TopLayer RESC_0603           129.0000     81.8000      180      0                 
R24        TopLayer RESC_0603           129.0000     84.3000      180      0                 
R23        TopLayer RESC_0603           129.0000     86.8000      180      0                 
R22        TopLayer RESC_0603           129.0000     89.3000      180      0                 
R21        TopLayer RESC_0603           129.0000     91.8000      180      0                 
C24E       TopLayer CAPC_0603           100.1000     13.1000      180      100n              
C24D       TopLayer CAPC_0603           100.1000     30.2000      180      100n              
C24C       TopLayer CAPC_0603           100.1000     49.3000      180      100n              
C24B       TopLayer CAPC_0603           100.1000     67.3000      180      100n              
C24A       TopLayer CAPC_0603           100.2000     84.2000      180      100n              
C23E       TopLayer CAPC_0603           100.1000     19.1000      180      100n              
C23D       TopLayer CAPC_0603           100.2000     36.2000      180      100n              
C23C       TopLayer CAPC_0603           100.2000     55.3000      180      100n              
C23B       TopLayer CAPC_0603           100.2000     73.3000      180      100n              
C23A       TopLayer CAPC_0603           100.1000     90.2000      180      100n              
R20        TopLayer RESC_0603_CONFIG    11.4746      20.0000      360      0                 
U2E        TopLayer SOIC127P600X175-16N 93.1000      16.1000      270      MC14504BDR2G      
U2D        TopLayer SOIC127P600X175-16N 93.1000      33.2000      270      MC14504BDR2G      
U2C        TopLayer SOIC127P600X175-16N 93.1000      52.3000      270      MC14504BDR2G      
U2B        TopLayer SOIC127P600X175-16N 93.1000      70.3000      270      MC14504BDR2G      
U2A        TopLayer SOIC127P600X175-16N 93.1000      87.2000      270      MC14504BDR2G      
C2B        TopLayer CAPC_0603           11.1120      56.4000      90       100n              
C4B        TopLayer CAPC_0603           26.6000      40.0000      270      100n              
C3B        TopLayer CAPC_0603           26.6000      56.3000      90       100n              
C3A        TopLayer CAPC_0603           26.6000      63.4000      90       100n              
C2A        TopLayer CAPC_0603           11.1120      40.0000      270      100n              
C1B        TopLayer CAPC_0603           11.1120      47.0700      270      100n              
C1A        TopLayer CAPC_0603           11.1124      63.5129      90       100n              
R9         TopLayer RESC_0603           125.0000     95.5000      90       5k6               
D1         TopLayer WL-SMCW_0603        122.9000     95.4500      90       150060GS75000     
