Altium Designer Pick and Place Locations
C:\Users\Thilo Wendt\Documents\altium\uz_d_voltage\Project Outputs for ultrazohm_digital_voltage_3U_1vxx\3v10\PickAndPlace\PAP_UltraZohm_DigitalVoltage_3V3_to_3V3_IO.csv

========================================================================================================================
File Design Information:

Date:       18.08.21
Time:       12:17
Revision:   076c284da45dc8df1f71f7819a8267ab2d9cfd6d
Variant:    3V3_to_3V3_IO
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"X2","IPL1-115-01-XX-D-RA","145.0260","134.1040","76.8760","76.8760","135.3740","94.6560","270","IPL1-115-01-L-D-RA-K","TopLayer"
"X3","IPL1-120-01-XX-D-RA","145.0260","134.1040","29.3780","29.3780","135.3740","53.5080","270","IPL1-120-01-L-D-RA-K","TopLayer"
"R173","RES_0603_1608","30.0000","30.0000","25.2000","25.2000","29.3500","25.2000","0","39R","TopLayer"
"R172","RES_0603_1608","30.0000","30.0000","27.0138","27.0138","29.3500","27.0138","0","39R","TopLayer"
"R171","RES_0603_1608","30.0000","30.0000","28.8276","28.8276","29.3500","28.8276","0","39R","TopLayer"
"R170","RES_0603_1608","30.0000","30.0000","30.6414","30.6414","29.3500","30.6414","0","39R","TopLayer"
"R169","RES_0603_1608","30.0000","30.0000","32.4552","32.4552","29.3500","32.4552","0","39R","TopLayer"
"R168","RES_0603_1608","30.0000","30.0000","34.2690","34.2690","29.3500","34.2690","0","39R","TopLayer"
"R167","RES_0603_1608","30.0000","30.0000","36.0828","36.0828","29.3500","36.0828","0","39R","TopLayer"
"R166","RES_0603_1608","30.0000","30.0000","37.8965","37.8965","29.3500","37.8965","0","39R","TopLayer"
"R165","RES_0603_1608","30.0000","30.0000","39.7103","39.7103","29.3500","39.7103","0","39R","TopLayer"
"R164","RES_0603_1608","30.0000","30.0000","41.5241","41.5241","29.3500","41.5241","0","39R","TopLayer"
"R163","RES_0603_1608","30.0000","30.0000","43.3379","43.3379","29.3500","43.3379","0","39R","TopLayer"
"R162","RES_0603_1608","30.0000","30.0000","45.1517","45.1517","29.3500","45.1517","0","39R","TopLayer"
"R161","RES_0603_1608","30.0000","30.0000","46.9655","46.9655","29.3500","46.9655","0","39R","TopLayer"
"R160","RES_0603_1608","30.0000","30.0000","48.7793","48.7793","29.3500","48.7793","0","39R","TopLayer"
"R159","RES_0603_1608","30.0000","30.0000","50.5931","50.5931","29.3500","50.5931","0","39R","TopLayer"
"R158","RES_0603_1608","30.0000","30.0000","52.4069","52.4069","29.3500","52.4069","0","39R","TopLayer"
"R157","RES_0603_1608","30.0000","30.0000","54.2207","54.2207","29.3500","54.2207","0","39R","TopLayer"
"R156","RES_0603_1608","30.0000","30.0000","56.0345","56.0345","29.3500","56.0345","0","39R","TopLayer"
"R155","RES_0603_1608","30.0000","30.0000","57.8482","57.8482","29.3500","57.8482","0","39R","TopLayer"
"R154","RES_0603_1608","30.0000","30.0000","59.6620","59.6620","29.3500","59.6620","0","39R","TopLayer"
"R153","RES_0603_1608","30.0000","30.0000","61.4758","61.4758","29.3500","61.4758","0","39R","TopLayer"
"R152","RES_0603_1608","30.0000","30.0000","63.2896","63.2896","29.3500","63.2896","0","39R","TopLayer"
"R151","RES_0603_1608","30.0000","30.0000","65.1034","65.1034","29.3500","65.1034","0","39R","TopLayer"
"R150","RES_0603_1608","30.0000","30.0000","66.9172","66.9172","29.3500","66.9172","0","39R","TopLayer"
"R149","RES_0603_1608","30.0000","30.0000","68.7310","68.7310","29.3500","68.7310","0","39R","TopLayer"
"R148","RES_0603_1608","30.0000","30.0000","70.5448","70.5448","29.3500","70.5448","0","39R","TopLayer"
"R147","RES_0603_1608","30.0000","30.0000","72.3586","72.3586","29.3500","72.3586","0","39R","TopLayer"
"R146","RES_0603_1608","30.0000","30.0000","74.1724","74.1724","29.3500","74.1724","0","39R","TopLayer"
"R145","RES_0603_1608","30.0000","30.0000","75.9862","75.9862","29.3500","75.9862","0","39R","TopLayer"
"R144","RES_0603_1608","30.0000","30.0000","77.7999","77.7999","29.3500","77.7999","0","39R","TopLayer"
"R139","RES_0603_1608","111.0000","111.0000","4.9000","4.9000","110.3500","4.9000","0","47R","TopLayer"
"R138","RES_0603_1608","111.0000","111.0000","8.0000","8.0000","110.3500","8.0000","0","47R","TopLayer"
"R135","RES_0603_1608","111.0000","111.0000","11.1000","11.1000","110.3500","11.1000","0","47R","TopLayer"
"R133","RES_0603_1608","111.0000","111.0000","14.2000","14.2000","110.3500","14.2000","0","47R","TopLayer"
"R132","RES_0603_1608","111.0000","111.0000","17.3000","17.3000","110.3500","17.3000","0","47R","TopLayer"
"R130","RES_0603_1608","111.0000","111.0000","20.4000","20.4000","110.3500","20.4000","0","47R","TopLayer"
"R127","RES_0603_1608","111.0000","111.0000","48.3000","48.3000","110.3500","48.3000","0","47R","TopLayer"
"R125","RES_0603_1608","111.0000","111.0000","51.4000","51.4000","110.3500","51.4000","0","47R","TopLayer"
"R124","RES_0603_1608","111.0000","111.0000","54.5000","54.5000","110.3500","54.5000","0","47R","TopLayer"
"R122","RES_0603_1608","111.0000","111.0000","57.6000","57.6000","110.3500","57.6000","0","47R","TopLayer"
"R119","RES_0603_1608","111.0000","111.0000","60.7000","60.7000","110.3500","60.7000","0","47R","TopLayer"
"R117","RES_0603_1608","111.0000","111.0000","63.8000","63.8000","110.3500","63.8000","0","47R","TopLayer"
"R116","RES_0603_1608","111.0000","111.0000","66.9000","66.9000","110.3500","66.9000","0","47R","TopLayer"
"R114","RES_0603_1608","111.0000","111.0000","70.0000","70.0000","110.3500","70.0000","0","47R","TopLayer"
"R111","RES_0603_1608","111.0000","111.0000","23.5000","23.5000","110.3500","23.5000","0","47R","TopLayer"
"R109","RES_0603_1608","111.0000","111.0000","26.6000","26.6000","110.3500","26.6000","0","47R","TopLayer"
"R108","RES_0603_1608","111.0000","111.0000","29.7000","29.7000","110.3500","29.7000","0","47R","TopLayer"
"R106","RES_0603_1608","111.0000","111.0000","32.8000","32.8000","110.3500","32.8000","0","47R","TopLayer"
"R103","RES_0603_1608","111.0000","111.0000","35.9000","35.9000","110.3500","35.9000","0","47R","TopLayer"
"R101","RES_0603_1608","111.0000","111.0000","39.0000","39.0000","110.3500","39.0000","0","47R","TopLayer"
"R100","RES_0603_1608","111.0000","111.0000","42.1000","42.1000","110.3500","42.1000","0","47R","TopLayer"
"R98","RES_0603_1608","111.0000","111.0000","45.2000","45.2000","110.3500","45.2000","0","47R","TopLayer"
"R95","RES_0603_1608","111.0000","111.0000","73.1000","73.1000","110.3500","73.1000","0","47R","TopLayer"
"R93","RES_0603_1608","111.0000","111.0000","76.2000","76.2000","110.3500","76.2000","0","47R","TopLayer"
"R92","RES_0603_1608","111.0000","111.0000","79.3000","79.3000","110.3500","79.3000","0","47R","TopLayer"
